date,open,high,low,close,volume
1527480000000,12.49,12.65,11.3,11.8175,155893.82
1527487200000,11.8916,12.32,11.71,11.9368,194722.0
1527494400000,11.9393,12.05,11.711,11.8261,292820.7
1527501600000,11.826,11.9702,11.7,11.8004,443572.19
1527508800000,11.8052,12.33,11.52,12.22,418567.08
1527516000000,12.2358,12.3,11.93,12.0,361036.11
1527523200000,11.9991,12.1365,11.9,12.075,336113.93
1527530400000,12.0751,12.195,11.934,12.1259,373447.74
1527537600000,12.11,12.22,11.7,11.773,364936.37
1527544800000,11.7728,11.7809,11.28,11.4788,553148.38
1527552000000,11.4853,11.6931,11.32,11.6116,499156.94
1527559200000,11.6091,11.6748,11.41,11.6074,393051.24
1527566400000,11.6074,11.6715,10.7,10.8618,760820.11
1527573600000,10.8618,11.28,10.7,11.1525,581576.79
1527580800000,11.1525,11.396,10.84,11.1112,537889.31
1527588000000,11.1201,12.0617,11.02,11.8201,752875.76
1527595200000,11.8207,12.1,11.6906,11.9075,620359.73
1527602400000,11.8993,11.9679,11.7041,11.8247,504281.01
1527609600000,11.8345,12.2132,11.78,12.1664,472722.83
1527616800000,12.1661,12.465,12.13,12.19,691986.15
1527624000000,12.2067,12.36,12.0826,12.2088,452480.79
1527631200000,12.2088,12.2518,11.8306,12.1112,441991.68
1527638400000,12.1113,12.5675,11.9918,12.33,508897.94
1527645600000,12.33,12.4883,12.0802,12.207,530810.66
1527652800000,12.207,12.3509,12.1664,12.2484,415714.26
1527660000000,12.2484,12.82,11.9804,12.2116,500993.79
1527667200000,12.2117,12.3389,12.0551,12.2423,472126.5
1527674400000,12.2696,12.46,12.2,12.3268,459807.99
1527681600000,12.319,12.3559,12.1064,12.2181,515518.1
1527688800000,12.2113,12.228,11.69,11.8026,709500.23
1527696000000,11.7975,11.9797,11.6206,11.8084,688236.08
1527703200000,11.8084,12.17,11.7483,11.7713,547417.97
1527710400000,11.7716,11.9026,11.7674,11.8063,596783.33
1527717600000,11.8063,12.147,11.64,11.8968,569057.33
1527724800000,11.8712,12.3046,11.8116,12.0316,587805.36
1527732000000,12.0316,12.2993,12.0206,12.1707,468949.6
1527739200000,12.1526,12.3746,12.1526,12.2808,502865.94
1527746400000,12.2978,12.41,12.2611,12.3202,507872.29
