date,open,high,low,close,volume
1527753600000,0.28021,0.306,0.28021,0.29118,792848.61
1527760800000,0.29109,0.29419,0.2875,0.29049,746818.87
1527768000000,0.29049,0.29528,0.28959,0.29304,1696842.48
1527775200000,0.29376,0.30397,0.29282,0.30185,2894956.78
1527782400000,0.30185,0.30198,0.29635,0.2995,2359635.5
1527789600000,0.29987,0.30489,0.29501,0.29787,2074316.95
1527796800000,0.29775,0.3,0.29511,0.29621,1342190.76
1527804000000,0.29621,0.29799,0.28799,0.29568,1950726.63
1527811200000,0.29567,0.29999,0.29196,0.29431,1671123.33
1527818400000,0.29476,0.29594,0.29059,0.29434,1337982.7
1527825600000,0.29435,0.29435,0.29,0.29036,1695671.75
1527832800000,0.29084,0.29727,0.28996,0.29636,1581628.5
1527840000000,0.29638,0.29799,0.294,0.29545,1721439.5
1527847200000,0.29545,0.298,0.2863,0.2863,1763268.64
1527854400000,0.2863,0.28867,0.2857,0.28776,1592594.5
1527861600000,0.28721,0.2898,0.2857,0.2898,1855274.07
1527868800000,0.28849,0.29,0.28,0.28556,1692789.0
1527876000000,0.28557,0.28573,0.27963,0.28326,2619572.37
1527883200000,0.28326,0.28592,0.28196,0.28354,1427006.55
1527890400000,0.28366,0.28958,0.2835,0.28863,1405143.45
1527897600000,0.28869,0.294,0.28812,0.29283,1629676.48
1527904800000,0.29383,0.29397,0.28968,0.28982,1251625.43
1527912000000,0.28982,0.29289,0.2898,0.29191,1763074.88
1527919200000,0.29211,0.298,0.28865,0.296,2052205.45
1527926400000,0.29601,0.30489,0.29601,0.2996,2047136.84
1527933600000,0.2996,0.301,0.298,0.29997,2540557.93
1527940800000,0.29994,0.30175,0.29858,0.30054,2197902.46
1527948000000,0.30054,0.30268,0.29781,0.29817,1665061.74
1527955200000,0.2982,0.29959,0.29297,0.296,1673609.28
1527962400000,0.29557,0.3,0.295,0.29888,1897822.46
1527969600000,0.29888,0.2999,0.29514,0.29875,1735490.07
1527976800000,0.29875,0.29997,0.29651,0.2974,1377111.51
