date,open,high,low,close,volume
1552622400000,51.99,52.0,50.98,50.99,713.14565
1552629600000,50.99,51.8,50.85,51.02,456.13914
1552636800000,51.02,51.25,50.9,51.25,187.26239
1552644000000,51.31,51.68,51.13,51.68,175.90246
1552651200000,51.59,51.67,48.67,51.19,1662.41304
1552658400000,51.42,51.88,51.0,51.76,784.21562
1552665600000,51.76,52.15,51.62,52.09,338.78143
1552672800000,51.8,52.22,51.65,52.13,130.43547
1552680000000,52.17,52.19,51.65,51.82,275.87677
1552687200000,51.82,52.1,51.82,52.1,184.36573
1552694400000,52.1,52.66,52.1,52.63,306.16532
1552701600000,52.53,53.08,52.49,52.72,978.38326
1552708800000,52.83,54.21,52.83,54.02,1034.84744
1552716000000,54.2,54.24,53.62,53.8,766.87135
1552723200000,53.71,53.99,53.17,53.95,383.60574
1552730400000,53.95,54.89,53.6,53.9,1081.98308
1552737600000,53.9,53.99,52.75,53.38,635.78269
1552744800000,53.12,54.13,53.12,53.25,581.71052
1552752000000,53.25,53.53,52.78,53.33,625.33434
1552759200000,53.29,53.56,52.76,53.26,1006.94347
1552766400000,53.4,53.4,53.03,53.09,478.2659
1552773600000,53.09,53.61,52.96,53.35,223.56782
1552780800000,53.56,53.57,52.77,52.81,546.40656
1552788000000,52.75,52.89,52.14,52.14,341.51077
1552795200000,52.0,52.06,51.6,51.71,435.3682
1552802400000,51.75,52.13,51.63,52.12,187.87967
1552809600000,52.12,52.15,51.54,52.09,427.85485
1552816800000,52.09,52.7,51.92,52.42,205.05573
1552824000000,52.48,52.48,51.85,52.12,317.04825
1552831200000,52.12,52.62,52.06,52.31,147.71097
1552838400000,52.31,52.73,52.24,52.46,142.1852
1552845600000,52.43,52.52,52.34,52.51,149.87039
1552852800000,52.4,52.69,52.31,52.37,145.85886
1552860000000,52.52,52.66,52.27,52.36,268.22481
1552867200000,52.38,53.01,52.32,52.76,349.43656
1552874400000,52.75,52.91,52.53,52.62,181.84714
1552881600000,52.65,52.83,51.95,51.95,351.98453
1552888800000,51.9,52.18,51.63,51.76,192.07887
1552896000000,51.76,52.0,51.56,51.56,423.61572
1552903200000,51.72,52.19,51.27,51.77,594.56804
1552910400000,51.52,52.03,51.52,52.03,196.14523
1552917600000,51.96,51.96,51.59,51.7,204.73368
1552924800000,51.7,52.21,51.63,52.0,306.21727
1552932000000,52.03,52.25,51.44,51.63,397.14647
1552939200000,51.65,51.85,51.44,51.79,612.18706
1552946400000,51.85,52.06,51.7,52.06,227.84106
1552953600000,51.93,52.09,51.83,51.83,108.78046
1552960800000,51.83,52.02,51.71,51.9,55.90429
1552968000000,51.9,51.96,51.61,51.85,255.4784
1552975200000,51.77,52.0,51.72,51.92,254.62199
1552982400000,51.85,52.3,51.76,52.3,528.12752
1552989600000,52.21,52.44,51.93,51.97,520.88668
1552996800000,52.21,52.3,51.98,52.17,669.37787
1553004000000,52.17,52.6,52.1,52.34,1383.50681
1553011200000,52.34,52.72,52.33,52.57,1168.39541
